longitude	latitude	value
106.5725021	29.0324993	1.0000000
106.1050034	29.0641670	1.0000000
106.3824997	29.1299992	1.0000000
106.3750000	29.1991673	1.0000000
106.3808365	29.1991673	1.0000000
106.3866653	29.1991673	1.0000000
106.3649979	29.2158337	1.0000000
106.3658371	29.2175007	1.0000000
106.3658371	29.2183342	1.0000000
106.3666687	29.2191658	1.0000000
106.3566666	29.2208328	1.0000000
106.3625031	29.2241669	1.0000000
106.3641663	29.2258339	1.0000000
106.3683319	29.2341671	1.0000000
106.3700027	29.2358341	1.0000000
106.3741684	29.2358341	1.0000000
106.3758316	29.2358341	1.0000000
106.3766632	29.2358341	1.0000000
106.3758316	29.2366657	1.0000000
106.2574997	29.2399998	1.0000000
106.2583313	29.2399998	1.0000000
106.3833313	29.2399998	1.0000000
106.3841629	29.2399998	1.0000000
106.2566681	29.2408333	1.0000000
106.2574997	29.2408333	1.0000000
106.2583313	29.2408333	1.0000000
106.2591629	29.2408333	1.0000000
106.3858337	29.2408333	1.0000000
107.8733368	29.2408333	1.0000000
106.2566681	29.2416668	1.0000000
106.2574997	29.2416668	1.0000000
106.2583313	29.2416668	1.0000000
106.2591629	29.2416668	1.0000000
106.2600021	29.2416668	1.0000000
106.2608337	29.2416668	1.0000000
106.2616653	29.2416668	1.0000000
106.2624969	29.2416668	1.0000000
106.2566681	29.2425003	1.0000000
106.2574997	29.2425003	1.0000000
106.2583313	29.2425003	1.0000000
106.2591629	29.2425003	1.0000000
106.2600021	29.2425003	1.0000000
106.2608337	29.2425003	1.0000000
106.2616653	29.2425003	1.0000000
106.2624969	29.2425003	1.0000000
106.2633362	29.2425003	1.0000000
107.8716660	29.2425003	1.0000000
107.8724976	29.2425003	1.0000000
106.2558365	29.2433338	1.0000000
106.2566681	29.2433338	1.0000000
106.2574997	29.2433338	1.0000000
106.2583313	29.2433338	1.0000000
106.2591629	29.2433338	1.0000000
106.2600021	29.2433338	1.0000000
106.2608337	29.2433338	1.0000000
106.2616653	29.2433338	1.0000000
106.2624969	29.2433338	1.0000000
106.2633362	29.2433338	1.0000000
107.8625031	29.2433338	1.0000000
107.8750000	29.2433338	1.0000000
